"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""353040 MIRASSOLANDIA"";962073;1670;-;462;964205"
"""353050 MOCOCA"";250761;930493;2032;1146;1184432"
"""353060 MOGI DAS CRUZES"";1265156;6307023;9256602;183532;17012313"
"""353070 MOGI GUACU"";257444;1435165;18083;24206;1734898"
"""353080 MOGI MIRIM"";754948;1091115;28694;5753;1880510"
"""353090 MOMBUCA"";48858;10507;-;1052;60417"
"""353100 MONCOES"";1083;5863;-;160;7106"
"""353110 MONGAGUA"";355796;606662;2925;86247;1051630"
"""353120 MONTE ALEGRE DO SUL"";106771;134663;-;256;241690"
"""353130 MONTE ALTO"";491112;747562;4109;7837;1250620"
"""353140 MONTE APRAZIVEL"";22877;182514;-;7604;212995"
"""353150 MONTE AZUL PAULISTA"";86330;435574;593;36536;559033"
"""353160 MONTE CASTELO"";161664;4233;-;8;165905"
"""353170 MONTEIRO LOBATO"";13546;32601;-;8972;55119"
"""353180 MONTE MOR"";183542;784207;671;3227;971647"
"""353190 MORRO AGUDO"";364695;376667;1652;49733;792747"
"""353200 MORUNGABA"";168913;266590;25;9332;444860"
"""353205 MOTUCA"";77326;1152;-;11617;90095"
"""353210 MURUTINGA DO SUL"";6552;23941;-;9923;40416"
"""353215 NANTES"";72;2858;-;149;3079"
"""353220 NARANDIBA"";84174;49088;-;9677;142939"
"""353230 NATIVIDADE DA SERRA"";12489;4384;-;73;16946"
"""353240 NAZARE PAULISTA"";65568;214482;-;9022;289072"
"""353250 NEVES PAULISTA"";58758;47821;-;10231;116810"
"""353260 NHANDEARA"";1636;148193;-;9767;159596"
"""353270 NIPOA"";151701;2551;3;16923;171178"
"""353280 NOVA ALIANCA"";56837;36131;-;2122;95090"
"""353282 NOVA CAMPINA"";229668;16185;-;313;246166"
"""353284 NOVA CANAA PAULISTA"";53745;25750;-;25771;105266"
"""353286 NOVA CASTILHO"";286;11036;-;23939;35261"
"""353290 NOVA EUROPA"";13438;79558;-;9910;102906"
"""353300 NOVA GRANADA"";44366;300063;-;280;344709"
"""353310 NOVA GUATAPORANGA"";18942;885;-;3686;23513"
"""353320 NOVA INDEPENDENCIA"";66;203;-;269;538"
"""353325 NOVAIS"";107326;46225;-;9508;163059"
"""353330 NOVA LUZITANIA"";67596;30280;-;208;98084"
"""353340 NOVA ODESSA"";498269;638710;1692;830;1139501"
"""353350 NOVO HORIZONTE"";705859;369162;3023;29557;1107601"
"""353360 NUPORANGA"";86706;7635;-;498;94839"
"""353370 OCAUCU"";-;338;-;-;338"
"""353380 OLEO"";45;28183;-;714;28942"
"""353390 OLIMPIA"";1884477;776114;11765;57525;2729881"
"""353400 ONDA VERDE"";113215;802;-;351;114368"
"""353410 ORIENTE"";486842;8678;-;26934;522454"
"""353420 ORINDIUVA"";1392;54993;-;61882;118267"
"""353430 ORLANDIA"";169635;116587;416;346;286984"
"""353440 OSASCO"";5510980;10209260;26059875;249670;42029785"
"""353450 OSCAR BRESSANE"";68635;3325;-;183;72143"
"""353460 OSVALDO CRUZ"";75770;195453;286;74466;345975"
"""353470 OURINHOS"";287658;1763766;45653;21575;2118652"
"""353475 OUROESTE"";203926;142530;-;443;346899"
"""353480 OURO VERDE"";30592;32;-;33329;63953"
"""353490 PACAEMBU"";162414;44564;-;2641;209619"
"""353500 PALESTINA"";316034;28698;-;34931;379663"
"""353510 PALMARES PAULISTA"";174977;6805;-;4667;186449"
"""353520 PALMEIRA D'OESTE"";23149;78153;710;661;102673"
"""353530 PALMITAL"";383661;317990;1368;42840;745859"
"""353540 PANORAMA"";41596;26326;-;47518;115440"
"""353550 PARAGUACU PAULISTA"";173666;315643;500;22233;512042"
"""353560 PARAIBUNA"";97377;23182;-;264;120823"
"""353570 PARAISO"";74039;62635;-;20698;157372"
"""353580 PARANAPANEMA"";142822;99360;-;701;242883"
"""353590 PARANAPUA"";-;2425;-;16168;18593"
"""353600 PARAPUA"";414;7210;-;-;7624"
"""353610 PARDINHO"";155;35130;-;802;36087"
"""353620 PARIQUERA-ACU"";1276;974237;46146;46454;1068113"
"""353625 PARISI"";169664;43160;-;5866;218690"
"""353630 PATROCINIO PAULISTA"";230994;113693;410;-;345097"
"""353640 PAULICEIA"";987;1432;-;42302;44721"
"""353650 PAULINIA"";646780;2052257;2616;-;2701653"
"""353657 PAULISTANIA"";-;3569;-;212;3781"
"""353660 PAULO DE FARIA"";85290;84722;-;1309;171321"
"""353670 PEDERNEIRAS"";635596;311963;3028;4707;955294"
"""353680 PEDRA BELA"";45342;8232;-;67;53641"
"""353690 PEDRANOPOLIS"";52;-;-;226;278"
"""353700 PEDREGULHO"";17852;104578;-;927;123357"
"""353710 PEDREIRA"";568441;620922;2128;1883;1193374"
"""353715 PEDRINHAS PAULISTA"";111724;39424;-;4414;155562"
"""353720 PEDRO DE TOLEDO"";47628;57204;-;7023;111855"
"""353730 PENAPOLIS"";141857;1155725;3905;280;1301767"
"""353740 PEREIRA BARRETO"";19536;164778;-;474;184788"
"""353750 PEREIRAS"";19932;17102;-;844;37878"
"""353760 PERUIBE"";140862;1299439;-;42304;1482605"
"""353770 PIACATU"";152606;75904;-;7104;235614"
"""353780 PIEDADE"";54513;195303;-;14925;264741"
"""353790 PILAR DO SUL"";7472;379559;-;2567;389598"
"""353800 PINDAMONHANGABA"";889813;3306038;36082;3945;4235878"
"""353810 PINDORAMA"";88269;48805;-;745;137819"
"""353820 PINHALZINHO"";68159;361825;-;513;430497"
"""353830 PIQUEROBI"";82255;480;-;991;83726"
"""353850 PIQUETE"";1158;17658;-;-;18816"
"""353860 PIRACAIA"";6657;305579;-;1320;313556"
"""353870 PIRACICABA"";1217008;5885980;23649099;96345;30848432"
"""353880 PIRAJU"";18991;305430;97;1170;325688"
"""353890 PIRAJUI"";70137;99958;-;6180;176275"
"""353900 PIRANGI"";46671;143580;588;8407;199246"
"""353910 PIRAPORA DO BOM JESUS"";174310;113645;-;1022;288977"
"""353920 PIRAPOZINHO"";126888;225420;-;19082;371390"
"""353930 PIRASSUNUNGA"";640226;701975;22890;4514;1369605"
"""353940 PIRATININGA"";239260;121542;-;2869;363671"
"""353950 PITANGUEIRAS"";575028;493001;2348;2001;1072378"
"""353960 PLANALTO"";2741;10790;-;42438;55969"
"""353970 PLATINA"";16;19126;-;23706;42848"
"""353980 POA"";255317;1180641;-;3793;1439751"
"""353990 POLONI"";162779;33594;-;44966;241339"
"""354000 POMPEIA"";9683;233971;1179;33199;278032"
"""354010 PONGAI"";62245;3006;-;127;65378"
"""354020 PONTAL"";22441;383803;144;25369;431757"
"""354025 PONTALINDA"";-;909;-;59;968"
"""354030 PONTES GESTAL"";2347;22432;-;2850;27629"
"""354040 POPULINA"";40583;31562;-;1002;73147"
"""354050 PORANGABA"";55118;4224;-;423;59765"
"""354060 PORTO FELIZ"";688955;1098404;7132;2120;1796611"
"""354070 PORTO FERREIRA"";85936;558521;19;74980;719456"
