"""Munic¡pio"";""02 Assistˆncia Farmacˆutica"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""07 Vigilƒncia em Sa£de"";""Total"""
"""150635 SANTA BARBARA DO PARA"";-;-;-;718253,63;-;718253,63"
"""150640 SANTA CRUZ DO ARARI"";-;-;-;154977,41;-;154977,41"
"""150650 SANTA IZABEL DO PARA"";-;-;-;4501639,19;-;4501639,19"
"""150655 SANTA LUZIA DO PARA"";-;-;-;295866,63;-;295866,63"
"""150658 SANTA MARIA DAS BARREIRAS"";-;-;-;1156585,13;-;1156585,13"
"""150660 SANTA MARIA DO PARA"";-;-;-;1269651,15;-;1269651,15"
"""150670 SANTANA DO ARAGUAIA"";-;-;-;5487795,22;-;5487795,22"
"""150680 SANTAREM"";1289002,48;12947727,73;230209,00;36396195,47;51140,00;50914274,68"
"""150690 SANTAREM NOVO"";-;-;-;20462,39;-;20462,39"
"""150700 SANTO ANTONIO DO TAUA"";-;-;-;1090664,44;-;1090664,44"
"""150710 SAO CAETANO DE ODIVELAS"";-;-;-;36680,65;-;36680,65"
"""150715 SAO DOMINGOS DO ARAGUAIA"";-;-;-;538950,79;-;538950,79"
"""150720 SAO DOMINGOS DO CAPIM"";-;-;-;951517,93;-;951517,93"
"""150730 SAO FELIX DO XINGU"";-;-;-;1651759,14;-;1651759,14"
"""150740 SAO FRANCISCO DO PARA"";-;-;-;195588,82;-;195588,82"
"""150745 SAO GERALDO DO ARAGUAIA"";-;-;-;1254852,63;-;1254852,63"
"""150746 SAO JOAO DA PONTA"";-;-;-;256,49;-;256,49"
"""150747 SAO JOAO DE PIRABAS"";-;32198,40;-;889181,11;-;921379,51"
"""150750 SAO JOAO DO ARAGUAIA"";-;-;-;176576,49;-;176576,49"
"""150760 SAO MIGUEL DO GUAMA"";-;91820,40;-;2522451,18;-;2614271,58"
"""150770 SAO SEBASTIAO DA BOA VISTA"";-;98764,80;-;645884,70;-;744649,50"
"""150775 SAPUCAIA"";-;-;-;1258089,24;-;1258089,24"
"""150780 SENADOR JOSE PORFIRIO"";-;6718,40;-;487783,50;-;494501,90"
"""150790 SOURE"";-;-;-;1192008,13;-;1192008,13"
"""150795 TAILANDIA"";-;180554,40;-;6408648,61;-;6589203,01"
"""150796 TERRA ALTA"";-;-;-;108702,68;-;108702,68"
"""150797 TERRA SANTA"";-;-;-;934756,04;-;934756,04"
"""150800 TOME-ACU"";-;-;-;11391103,77;-;11391103,77"
"""150803 TRACUATEUA"";-;-;-;358755,63;-;358755,63"
"""150805 TRAIRAO"";-;-;-;519209,77;-;519209,77"
"""150808 TUCUMA"";-;-;-;2407502,55;-;2407502,55"
"""150810 TUCURUI"";1019119,66;2025593,82;-;9188918,89;-;12233632,37"
"""150812 ULIANOPOLIS"";36863,77;9120973,44;-;3394054,09;-;12551891,30"
"""150815 URUARA"";-;37890,00;-;3740039,19;-;3777929,19"
"""150820 VIGIA"";-;-;-;3163070,77;-;3163070,77"
"""150830 VISEU"";-;4480,00;-;1805165,81;-;1809645,81"
"""150835 VITORIA DO XINGU"";-;-;-;563327,20;-;563327,20"
"""150840 XINGUARA"";-;311726,40;-;6464299,77;-;6776026,17"
"""160005 SERRA DO NAVIO"";-;-;-;148443,11;-;148443,11"
"""160010 AMAPA"";-;-;-;160788,81;-;160788,81"
"""160015 PEDRA BRANCA DO AMAPARI"";-;-;-;503874,22;-;503874,22"
