"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acidente no local trabalho ou a servi‡o da empresa"";""Acidente no trajeto para o trabalho"";""Outros tipos de acidente de trƒnsito"";""Outros tipos lesäes/envenenament(agent.fis./quim.)"";""Informa‡Æo inexistente  (BPA-C)"";""Car ter de atendimento nÆo informado"";""Total"""
"""150442 MARITUBA"";399914;281805;30;15;6;3;2193088;-;2874861"
"""150445 MEDICILANDIA"";57622;13;-;-;-;-;255905;-;313540"
"""150450 MELGACO"";346;-;-;-;-;-;45606;-;45952"
"""150460 MOCAJUBA"";35787;2;-;-;-;-;148521;-;184310"
"""150470 MOJU"";84182;3810;4;1;-;-;555514;-;643511"
"""150475 MOJUI DOS CAMPOS"";-;-;-;-;-;-;48156;-;48156"
"""150480 MONTE ALEGRE"";313549;3138;35;9;-;1;161929;-;478661"
"""150490 MUANA"";112316;29;-;1;-;-;350761;-;463107"
"""150495 NOVA ESPERANCA DO PIRIA"";1604;112;-;-;-;-;54012;-;55728"
"""150497 NOVA IPIXUNA"";-;703;-;-;-;-;231621;-;232324"
"""150500 NOVA TIMBOTEUA"";1758;6;1;-;-;-;45383;-;47148"
"""150503 NOVO PROGRESSO"";96368;4237;1;-;-;-;148260;-;248866"
"""150506 NOVO REPARTIMENTO"";54151;77474;29;1;-;-;493798;-;625453"
"""150510 OBIDOS"";328036;6632;3;-;-;-;187855;-;522526"
"""150520 OEIRAS DO PARA"";4426;13;-;-;-;-;55548;-;59987"
"""150530 ORIXIMINA"";128649;1670;3;14;-;-;695099;-;825435"
"""150540 OUREM"";65950;202;96;-;-;-;391988;-;458236"
"""150543 OURILANDIA DO NORTE"";239119;14441;5;-;-;-;777402;-;1030967"
"""150548 PACAJA"";105896;5027;-;-;-;-;310252;-;421175"
"""150549 PALESTINA DO PARA"";-;154;-;-;-;-;10025;-;10179"
"""150550 PARAGOMINAS"";187239;189907;51;57;7;-;1314767;-;1692028"
"""150553 PARAUAPEBAS"";1708604;275068;62;23;1;1;1766318;-;3750077"
"""150555 PAU D'ARCO"";477;292;-;-;-;-;415048;-;415817"
"""150560 PEIXE-BOI"";-;3832;-;-;-;-;35022;-;38854"
"""150563 PICARRA"";-;-;-;-;-;-;33586;-;33586"
"""150565 PLACAS"";89560;246;32;-;-;-;446928;-;536766"
"""150570 PONTA DE PEDRAS"";43;2;-;-;-;-;76287;-;76332"
"""150580 PORTEL"";179961;597;-;-;-;-;420929;-;601487"
"""150590 PORTO DE MOZ"";2073;36818;-;-;-;-;173364;-;212255"
"""150600 PRAINHA"";8304;-;-;-;-;-;125206;-;133510"
"""150610 PRIMAVERA"";36;18837;59;3;2;-;12468;-;31405"
"""150611 QUATIPURU"";12237;-;-;-;-;-;120005;-;132242"
"""150613 REDENCAO"";582333;22692;2;1;-;-;1578611;-;2183639"
"""150616 RIO MARIA"";153235;6890;1;-;-;-;86360;-;246486"
"""150618 RONDON DO PARA"";26486;52;-;3;-;-;163035;-;189576"
"""150619 RUROPOLIS"";48652;3651;16;2;15;-;390597;-;442933"
"""150620 SALINOPOLIS"";161053;2899;198;32;1;-;355937;-;520120"
"""150630 SALVATERRA"";362;7804;-;-;-;-;189671;-;197837"
"""150635 SANTA BARBARA DO PARA"";12843;41;-;-;-;-;96405;-;109289"
"""150640 SANTA CRUZ DO ARARI"";-;156;-;-;-;-;45990;-;46146"
"""150650 SANTA IZABEL DO PARA"";7077;16474;4;-;-;-;675319;-;698874"
"""150655 SANTA LUZIA DO PARA"";23772;59210;70;1;-;-;45241;-;128294"
"""150658 SANTA MARIA DAS BARREIRAS"";23096;44351;4;-;5;-;13288;-;80744"
"""150660 SANTA MARIA DO PARA"";16577;1302;1;-;-;-;133016;-;150896"
"""150670 SANTANA DO ARAGUAIA"";165532;571;-;-;-;16;827351;-;993470"
"""150680 SANTAREM"";1845764;316569;73;9;2;3;3363671;-;5526091"
"""150690 SANTAREM NOVO"";1704;3;-;-;-;-;8818;-;10525"
"""150700 SANTO ANTONIO DO TAUA"";1723;5954;1;1;-;-;91526;-;99205"
"""150710 SAO CAETANO DE ODIVELAS"";4359;3;-;-;-;-;3871;-;8233"
"""150715 SAO DOMINGOS DO ARAGUAIA"";2114;19694;30;-;-;-;88727;-;110565"
"""150720 SAO DOMINGOS DO CAPIM"";20677;116;-;-;-;-;202165;-;222958"
"""150730 SAO FELIX DO XINGU"";23239;68020;-;-;-;-;195469;-;286728"
"""150740 SAO FRANCISCO DO PARA"";4422;2;1;-;-;-;55310;-;59735"
"""150745 SAO GERALDO DO ARAGUAIA"";90796;3568;-;-;1;-;176993;-;271358"
"""150746 SAO JOAO DA PONTA"";-;-;-;-;-;-;28468;-;28468"
"""150747 SAO JOAO DE PIRABAS"";11106;64519;3;3;68;3;134839;-;210541"
"""150750 SAO JOAO DO ARAGUAIA"";174;5491;-;-;-;-;28795;-;34460"
"""150760 SAO MIGUEL DO GUAMA"";29632;19990;13;1;1;-;666800;-;716437"
"""150770 SAO SEBASTIAO DA BOA VISTA"";2299;15;-;-;-;-;69900;-;72214"
"""150775 SAPUCAIA"";5943;1476;-;-;-;-;445239;-;452658"
"""150780 SENADOR JOSE PORFIRIO"";-;-;-;-;-;-;184479;-;184479"
"""150790 SOURE"";12372;-;-;4;-;-;358788;-;371164"
"""150795 TAILANDIA"";284351;21741;-;1;-;-;523473;-;829566"
"""150796 TERRA ALTA"";371;-;-;-;-;-;50944;-;51315"
"""150797 TERRA SANTA"";62674;3689;-;-;-;-;190963;-;257326"
"""150800 TOME-ACU"";66048;132868;57;-;1;-;941718;-;1140692"
"""150803 TRACUATEUA"";8511;20;-;-;-;-;81809;-;90340"
"""150805 TRAIRAO"";47439;43889;44;-;-;-;20041;-;111413"
"""150808 TUCUMA"";150219;37750;20;-;-;-;266816;-;454805"
"""150810 TUCURUI"";362874;116330;-;1;-;-;829877;-;1309082"
"""150812 ULIANOPOLIS"";277208;4521;-;-;-;-;683463;-;965192"
"""150815 URUARA"";147059;4934;198;72;8;17;447559;-;599847"
"""150820 VIGIA"";100517;79519;42;13;8;4;270909;-;451012"
"""150830 VISEU"";151517;23601;1;1;1;1;111482;-;286604"
"""150835 VITORIA DO XINGU"";7266;419;1;-;-;-;172613;-;180299"
"""150840 XINGUARA"";154924;25558;6;-;-;-;1937065;-;2117553"
"""160005 SERRA DO NAVIO"";65;312;-;-;-;-;29154;-;29531"
"""160010 AMAPA"";640;19352;31;-;-;-;35356;-;55379"
"""160015 PEDRA BRANCA DO AMAPARI"";27965;21;-;-;2;-;199274;-;227262"
"""160020 CALCOENE"";9;976;-;-;-;-;55893;-;56878"
"""160021 CUTIAS"";-;-;-;-;-;-;2601;-;2601"
"""160023 FERREIRA GOMES"";-;-;-;-;-;-;138483;-;138483"
"""160025 ITAUBAL"";-;-;-;-;-;-;1003;-;1003"
"""160027 LARANJAL DO JARI"";59854;11324;2;4;-;-;605740;-;676924"
"""160030 MACAPA"";1743879;62037;87;54;2;1;7796364;-;9602424"
"""160040 MAZAGAO"";259;-;-;-;-;-;89445;-;89704"
"""160050 OIAPOQUE"";-;2298;-;-;-;-;335864;-;338162"
"""160053 PORTO GRANDE"";2022;-;-;-;-;-;48098;-;50120"
"""160055 PRACUUBA"";-;-;-;-;-;-;77;-;77"
"""160060 SANTANA"";63581;4577;14;-;1;2;1740472;-;1808647"
"""160070 TARTARUGALZINHO"";3675;-;-;-;-;-;137510;-;141185"
"""160080 VITORIA DO JARI"";3215;35;-;-;-;-;203196;-;206446"
"""170025 ABREULANDIA"";1329;361;-;-;-;3;2099;-;3792"
"""170030 AGUIARNOPOLIS"";1005;-;-;-;-;-;106;-;1111"
"""170035 ALIANCA DO TOCANTINS"";2568;12;-;-;-;-;4921;-;7501"
"""170040 ALMAS"";224;-;-;-;-;-;51117;-;51341"
"""170070 ALVORADA"";10565;1844;-;-;-;-;135562;-;147971"
"""170100 ANANAS"";1067;-;-;-;-;-;59938;-;61005"
"""170105 ANGICO"";2825;1;-;-;-;-;113;-;2939"
"""170110 APARECIDA DO RIO NEGRO"";1157;-;-;-;-;-;16884;-;18041"
"""170130 ARAGOMINAS"";266;-;-;-;-;-;16746;-;17012"
"""170190 ARAGUACEMA"";16568;-;-;-;-;-;58179;-;74747"
"""170200 ARAGUACU"";3109;1055;4;-;-;-;174194;-;178362"
"""170210 ARAGUAINA"";1182189;451758;20;2;1;-;2292645;-;3926615"
"""170215 ARAGUANA"";133;-;-;-;-;-;8731;-;8864"
"""170220 ARAGUATINS"";14687;438;3;-;-;-;948894;-;964022"
"""170230 ARAPOEMA"";533;441;-;-;-;-;71526;-;72500"
"""170240 ARRAIAS"";6945;267;1;-;-;1;123869;-;131083"
"""170255 AUGUSTINOPOLIS"";13042;5285;-;-;-;-;301846;-;320173"
"""170270 AURORA DO TOCANTINS"";925;-;-;-;-;-;129;-;1054"
"""170290 AXIXA DO TOCANTINS"";298;-;-;-;-;-;674;-;972"
"""170300 BABACULANDIA"";227;-;-;-;-;-;29433;-;29660"
"""170305 BANDEIRANTES DO TOCANTINS"";1574;1;-;-;-;-;1584;-;3159"
"""170307 BARRA DO OURO"";247;-;-;-;-;-;110;-;357"
"""170310 BARROLANDIA"";5090;-;-;12;-;-;62074;-;67176"
"""170320 BERNARDO SAYAO"";2722;377;-;-;-;-;12;-;3111"
"""170330 BOM JESUS DO TOCANTINS"";1367;1;-;-;-;-;345;-;1713"
"""170360 BRASILANDIA DO TOCANTINS"";-;-;-;-;-;-;3774;-;3774"
"""170370 BREJINHO DE NAZARE"";-;-;-;-;-;-;26941;-;26941"
"""170380 BURITI DO TOCANTINS"";16452;-;-;1;-;-;1783;-;18236"
"""170382 CACHOEIRINHA"";103;-;-;-;-;-;8;-;111"
"""170384 CAMPOS LINDOS"";4595;-;-;-;-;-;659;-;5254"
