"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""172110 TOCANTINIA"";-;-;-;46;46"
"""172125 TUPIRAMA"";-;-;-;88;88"
"""172208 WANDERLANDIA"";5998;-;-;896;6894"
"""172210 XAMBIOA"";110;4989;7;207;5313"
"""210005 ACAILANDIA"";15233;166620;3044;12633;197530"
"""210030 ALDEIAS ALTAS"";99;5755;-;104;5958"
"""210043 ALTO ALEGRE DO MARANHAO"";2493;50222;-;-;52715"
"""210080 ANAPURUS"";4994;8086;-;714;13794"
"""210090 ARAIOSES"";-;1941;-;-;1941"
"""210120 BACABAL"";14386;95328;5064;10444;125222"
"""210125 BACABEIRA"";-;22352;-;683;23035"
"""210135 BACURITUBA"";97;1542;-;21;1660"
"""210140 BALSAS"";23678;139460;1963;24995;190096"
"""210160 BARRA DO CORDA"";14863;76524;987;89606;181980"
"""210170 BARREIRINHAS"";9105;59146;1702;3167;73120"
"""210173 BELAGUA"";468;1598;-;197;2263"
"""210177 BELA VISTA DO MARANHAO"";3672;6179;-;642;10493"
"""210190 BEQUIMAO"";-;5096;-;-;5096"
"""210207 BOM LUGAR"";112;336;-;1821;2269"
"""210210 BREJO"";6989;10146;-;10164;27299"
"""210220 BURITI"";3188;12777;-;1417;17382"
"""210232 BURITICUPU"";7020;46049;-;46;53115"
"""210235 BURITIRANA"";1605;6661;-;1738;10004"
"""210280 CAROLINA"";3501;15598;-;4279;23378"
"""210290 CARUTAPERA"";346;23119;-;11;23476"
"""210300 CAXIAS"";77368;279271;7283;1896;365818"
"""210320 CHAPADINHA"";12921;93629;3465;4720;114735"
"""210325 CIDELANDIA"";1880;9376;-;219;11475"
"""210330 CODO"";12714;121400;2407;13596;150117"
"""210340 COELHO NETO"";8191;38767;134;1836;48928"
"""210350 COLINAS"";5;14772;429;-;15206"
"""210355 CONCEICAO DO LAGO-ACU"";-;2359;-;127;2486"
"""210360 COROATA"";5784;150240;917;1372;158313"
"""210370 CURURUPU"";6002;11645;-;115;17762"
"""210375 DAVINOPOLIS"";2170;12404;-;2127;16701"
"""210390 DUQUE BACELAR"";1766;8723;141;1185;11815"
"""210400 ESPERANTINOPOLIS"";253;18096;-;802;19151"
"""210405 ESTREITO"";-;781;-;-;781"
"""210407 FEIRA NOVA DO MARANHAO"";54;1750;-;2621;4425"
"""210410 FORTALEZA DOS NOGUEIRAS"";2685;4684;-;120;7489"
"""210467 GOVERNADOR NUNES FREIRE"";385;30275;-;7148;37808"
"""210480 GRAJAU"";25341;60772;-;39592;125705"
"""210500 HUMBERTO DE CAMPOS"";-;1941;-;-;1941"
"""210530 IMPERATRIZ"";40596;541130;11617;7379;600722"
"""210535 ITAIPAVA DO GRAJAU"";101;8418;-;1760;10279"
"""210540 ITAPECURU MIRIM"";6140;39698;-;3453;49291"
"""210542 ITINGA DO MARANHAO"";2028;8542;-;17;10587"
"""210547 JENIPAPO DOS VIEIRAS"";49;15113;-;2434;17596"
"""210550 JOAO LISBOA"";1783;12072;-;26;13881"
"""210565 JUNCO DO MARANHAO"";699;6140;-;715;7554"
"""210570 LAGO DA PEDRA"";13803;59821;751;6855;81230"
"""210580 LAGO DO JUNCO"";105;1316;-;1509;2930"
"""210592 LAGOA DO MATO"";-;10175;-;840;11015"
"""210594 LAGO DOS RODRIGUES"";119;6595;-;28;6742"
"""210596 LAGOA GRANDE DO MARANHAO"";9;130;-;490;629"
"""210610 LORETO"";1318;1825;-;301;3444"
"""210620 LUIS DOMINGUES"";-;1699;-;20;1719"
"""210630 MAGALHAES DE ALMEIDA"";2149;7392;-;526;10067"
"""210635 MARAJA DO SENA"";-;2;-;1239;1241"
"""210650 MATINHA"";3859;9703;-;160;13722"
"""210663 MATOES DO NORTE"";2747;15523;-;942;19212"
"""210667 MILAGRES DO MARANHAO"";69;154;-;-;223"
"""210675 MIRANDA DO NORTE"";5772;18461;-;1127;25360"
"""210680 MIRINZAL"";1274;1199;-;25;2498"
"""210690 MONCAO"";41;31317;-;58;31416"
"""210700 MONTES ALTOS"";2792;8395;-;1558;12745"
"""210710 MORROS"";1385;34297;-;-;35682"
"""210720 NINA RODRIGUES"";3629;13764;-;817;18210"
"""210725 NOVA COLINAS"";3774;2418;-;96;6288"
"""210735 NOVA OLINDA DO MARANHAO"";63;3626;-;1211;4900"
"""210750 PACO DO LUMIAR"";20212;129690;830;2277;153009"
"""210760 PALMEIRANDIA"";1682;6695;-;1328;9705"
"""210780 PARNARAMA"";5418;25443;-;2010;32871"
"""210790 PASSAGEM FRANCA"";-;1201;-;-;1201"
"""210805 PAULINO NEVES"";1815;15796;-;-;17611"
"""210810 PAULO RAMOS"";39;9319;28;3719;13105"
"""210820 PEDREIRAS"";3211;46553;1797;2440;54001"
"""210845 PERITORO"";203;10713;-;691;11607"
"""210850 PINDARE-MIRIM"";26764;14133;-;6288;47185"
"""210860 PINHEIRO"";11130;21743;4911;9;37793"
"""210870 PIO XII"";1882;10171;-;1192;13245"
"""210880 PIRAPEMAS"";2606;13335;-;75;16016"
"""210890 POCAO DE PEDRAS"";2856;12619;-;3912;19387"
"""210910 PRESIDENTE DUTRA"";12745;25302;1770;118;39935"
"""210920 PRESIDENTE JUSCELINO"";6115;8605;-;427;15147"
"""210923 PRESIDENTE MEDICI"";691;3508;-;-;4199"
"""210927 PRESIDENTE SARNEY"";758;7604;-;450;8812"
"""210930 PRESIDENTE VARGAS"";1279;6439;-;-;7718"
"""210950 RIACHAO"";6407;25055;-;1825;33287"
"""210960 ROSARIO"";6293;36875;385;2381;45934"
"""210970 SAMBAIBA"";2301;4405;-;54;6760"
"""210980 SANTA HELENA"";6242;2757;-;-;8999"
"""210990 SANTA INES"";12145;32459;709;-;45313"
"""211000 SANTA LUZIA"";-;30;-;-;30"
"""211003 SANTA LUZIA DO PARUA"";4369;20658;112;1603;26742"
"""211020 SANTA RITA"";13100;38085;-;1829;53014"
"""211023 SANTANA DO MARANHAO"";1115;5907;-;2237;9259"
"""211027 SANTO AMARO DO MARANHAO"";-;5863;-;107;5970"
"""211050 SAO BENTO"";11914;31162;-;5425;48501"
"""211060 SAO BERNARDO"";-;1941;-;-;1941"
"""211080 SAO FELIX DE BALSAS"";729;9933;-;-;10662"
"""211085 SAO FRANCISCO DO BREJAO"";4839;7371;-;337;12547"
"""211090 SAO FRANCISCO DO MARANHAO"";856;2648;-;35;3539"
"""211110 SAO JOAO DOS PATOS"";417;50104;-;-;50521"
"""211120 SAO JOSE DE RIBAMAR"";33438;255267;415;2697;291817"
"""211125 SAO JOSE DOS BASILIOS"";2853;8970;-;1231;13054"
"""211130 SAO LUIS"";295991;2320905;1602719;30007;4249622"
"""211140 SAO LUIS GONZAGA DO MARANHAO"";12690;10562;-;2039;25291"
"""211150 SAO MATEUS DO MARANHAO"";-;9460;54;-;9514"
"""211153 SAO PEDRO DA AGUA BRANCA"";3586;8994;-;1972;14552"
"""211157 SAO PEDRO DOS CRENTES"";3060;1210;-;99;4369"
"""211163 SAO RAIMUNDO DO DOCA BEZERRA"";1390;1727;-;645;3762"
"""211167 SAO ROBERTO"";-;698;-;1003;1701"
"""211172 SATUBINHA"";1287;1780;-;205;3272"
"""211178 SERRANO DO MARANHAO"";2298;1706;-;644;4648"
"""211180 SITIO NOVO"";2163;10149;22;293;12627"
"""211210 TIMBIRAS"";3857;34982;20;2614;41473"
"""211220 TIMON"";20063;173439;2309;5302;201113"
"""211223 TRIZIDELA DO VALE"";1567;13063;589;151;15370"
"""211240 TURIACU"";246;9373;-;24852;34471"
"""211250 TUTOIA"";4739;14505;-;1043;20287"
"""211260 URBANO SANTOS"";3932;17014;-;277;21223"
"""211270 VARGEM GRANDE"";2516;23043;-;4103;29662"
"""211280 VIANA"";17690;42784;299;2059;62832"
"""211285 VILA NOVA DOS MARTIRIOS"";1328;12747;-;446;14521"
"""211290 VITORIA DO MEARIM"";5250;13651;-;1493;20394"
"""211400 ZE DOCA"";4277;85316;-;4290;93883"
"""220010 AGRICOLANDIA"";-;26;-;118;144"
"""220020 AGUA BRANCA"";2532;17916;-;76;20524"
"""220025 ALAGOINHA DO PIAUI"";313;606;-;143;1062"
"""220027 ALEGRETE DO PIAUI"";-;-;-;94;94"
"""220030 ALTO LONGA"";328;2728;-;125;3181"
