"""Regi∆o de Sa£de/Munic°pio"";""2021"";""2022"";""2023"";""2024"";""2025"";""2026"";""Total"""
""".....  GUARIBA"";8;1372;1656;1611;1456;116;6219"
""".....  PITANGUEIRAS"";33;1509;1479;1669;1522;98;6310"
"""35132 Aqu°fero Guarani"";3706;82234;85936;93391;97165;2613;365045"
""".....  SERRANA"";96;4249;4398;4469;3847;234;17293"
""".....  SAO SIMAO"";3;253;275;315;371;24;1241"
""".....  SANTA RITA DO PASSA QUATRO"";5;1343;1429;1542;1717;142;6178"
""".....  CRAVINHOS"";6;522;537;30;314;-;1409"
""".....  RIBEIRAO PRETO"";3589;74781;78387;85890;89956;2149;334752"
""".....  SANTA ROSA DE VITERBO"";7;1086;910;1145;960;64;4172"
"""35133 Vale das Cachoeiras"";55;8635;9065;9662;9816;461;37694"
""".....  ALTINOPOLIS"";5;1159;1680;1957;2034;-;6835"
""".....  CAJURU"";26;2788;2759;3231;3498;225;12527"
""".....  SANTO ANTONIO DA ALEGRIA"";1;103;134;112;147;-;497"
""".....  BATATAIS"";23;4585;4492;4362;4137;236;17835"
"""35141 Baixa Mogiana"";313;19960;20265;21072;22052;1513;85175"
""".....  MOGI MIRIM"";67;3954;4053;4530;5292;366;18262"
""".....  ITAPIRA"";38;5853;6272;6381;6660;546;25750"
""".....  MOGI GUACU"";208;10153;9940;10161;10100;601;41163"
"""35142 Mantiqueira"";289;14811;15122;15328;15926;1089;62565"
""".....  TAMBAU"";5;1173;1257;1287;1216;54;4992"
""".....  SANTA CRUZ DAS PALMEIRAS"";2;1238;1235;1320;1252;111;5158"
""".....  VARGEM GRANDE DO SUL"";42;2904;2484;2290;2194;101;10015"
""".....  ESPIRITO SANTO DO PINHAL"";60;3715;3910;4054;4322;388;16449"
""".....  SAO JOAO DA BOA VISTA"";180;5765;5833;5928;6452;435;24593"
""".....  AGUAI"";-;16;403;449;490;-;1358"
"""35143 Rio Pardo"";123;16146;16302;18541;19624;1286;72022"
""".....  CACONDE"";5;1093;1122;1314;1813;64;5411"
""".....  TAPIRATIBA"";2;306;345;347;344;28;1372"
""".....  CASA BRANCA"";20;2062;1752;2050;2348;130;8362"
""".....  SAO SEBASTIAO DA GRAMA"";7;477;531;571;584;39;2209"
""".....  SAO JOSE DO RIO PARDO"";23;4502;4375;4691;4461;306;18358"
""".....  MOCOCA"";50;4778;5056;4977;5322;358;20541"
""".....  DIVINOLANDIA"";16;2928;3121;4591;4752;361;15769"
"""35151 Catanduva"";496;19986;21630;24255;26420;1758;94545"
""".....  NOVO HORIZONTE"";22;2437;2295;2479;2541;175;9949"
""".....  CATANDUVA"";462;15351;16537;18090;18893;1131;70464"
""".....  ITAJOBI"";1;407;545;710;793;42;2498"
""".....  TABAPUA"";3;644;543;739;829;81;2839"
""".....  SANTA ADELIA"";3;311;568;675;1071;82;2710"
""".....  URUPES"";5;426;386;493;881;101;2292"
""".....  PIRANGI"";-;410;756;1069;1412;146;3793"
"""35152 Santa FÇ do Sul"";15;2512;2489;3162;3700;279;12157"
""".....  SANTA FE DO SUL"";15;2512;2489;3162;3700;279;12157"
"""35153 Jales"";230;7407;8581;9480;9860;598;36156"
""".....  URANIA"";5;188;188;259;308;36;984"
""".....  APARECIDA D'OESTE"";1;56;36;78;94;-;265"
""".....  JALES"";203;6659;7889;8296;8720;519;32286"
""".....  PALMEIRA D'OESTE"";21;504;468;847;738;43;2621"
"""35154 Fernand¢polis"";56;5588;6873;8002;8879;619;30017"
""".....  ESTRELA D'OESTE"";3;346;459;745;836;41;2430"
""".....  FERNANDOPOLIS"";48;4551;5590;6065;6811;532;23597"
""".....  OUROESTE"";4;283;352;592;702;-;1933"
""".....  INDIAPORA"";1;289;373;398;368;27;1456"
""".....  POPULINA"";-;119;99;202;162;19;601"
"""35155 S∆o JosÇ do Rio Preto"";5878;70002;79414;88419;100275;6783;350771"
""".....  NEVES PAULISTA"";3;49;52;48;55;-;207"
""".....  TANABI"";19;1362;1382;1422;1409;74;5668"
""".....  MIRASSOL"";4;1835;1972;2094;1795;-;7700"
""".....  PAULO DE FARIA"";2;80;175;117;118;-;492"
""".....  NOVA GRANADA"";12;1248;1349;1551;2142;140;6442"
""".....  IBIRA"";36;407;313;488;414;34;1692"
""".....  SAO JOSE DO RIO PRETO"";5800;64523;73571;81809;93333;6479;325515"
""".....  POTIRENDABA"";2;498;600;890;1009;56;3055"
"""35156 JosÇ Bonif†cio"";59;4031;4040;4851;6156;461;19598"
""".....  JOSE BONIFACIO"";8;1297;1420;1615;2336;183;6859"
""".....  JACI"";1;389;594;764;724;40;2512"
""".....  MONTE APRAZIVEL"";50;2345;2026;2472;3096;238;10227"
"""35157 Votuporanga"";127;11004;11815;13352;16163;1209;53670"
""".....  RIOLANDIA"";15;67;93;144;201;10;530"
""".....  CARDOSO"";1;420;472;422;501;18;1834"
""".....  NHANDEARA"";6;1413;1499;1832;2697;172;7619"
""".....  MACAUBAL"";-;53;55;60;111;4;283"
""".....  VOTUPORANGA"";103;8734;9301;10406;12136;967;41647"
""".....  GENERAL SALGADO"";2;317;395;488;517;38;1757"
"""35161 Itapetininga"";226;20714;21879;21922;22875;1142;88758"
""".....  CESARIO LANGE"";2;431;485;537;522;39;2016"
""".....  ITAPETININGA"";115;8808;9756;10154;10487;669;39989"
""".....  SAO MIGUEL ARCANJO"";13;1188;1613;1388;1291;88;5581"
""".....  CAPAO BONITO"";11;2747;2674;2790;2847;-;11069"
""".....  TATUI"";67;5337;5140;5172;4947;232;20895"
""".....  ANGATUBA"";15;1537;1382;1476;1858;114;6382"
""".....  CERQUILHO"";3;666;829;405;923;-;2826"
"""35162 Itapeva"";949;15464;16650;18166;19223;775;71227"
""".....  ITARARE"";12;3725;4073;4170;3875;353;16208"
""".....  GUAPIARA"";39;385;-;99;267;9;799"
""".....  APIAI"";26;2523;2530;2923;3362;264;11628"
""".....  RIBEIRAO BRANCO"";1;420;424;373;442;17;1677"
""".....  ITABERA"";1;610;1043;1261;1186;-;4101"
""".....  ITAPEVA"";870;7801;8580;9340;10091;132;36814"
"""35163 Sorocaba"";1510;88149;94672;99195;105588;6931;396045"
""".....  PORTO FELIZ"";22;2585;2887;4009;4089;278;13870"
""".....  PIEDADE"";77;2229;2606;2808;3043;162;10925"
""".....  SAO ROQUE"";189;3602;3936;4122;4787;324;16960"
""".....  PILAR DO SUL"";69;1216;1035;1016;977;57;4370"
""".....  ITU"";112;8265;8274;8557;8965;575;34748"
""".....  SALTO DE PIRAPORA"";6;2189;2366;2306;2949;134;9950"
""".....  IBIUNA"";7;2488;3694;3572;4360;336;14457"
""".....  VOTORANTIM"";34;4340;4446;4217;4067;246;17350"
""".....  TIETE"";18;2222;2186;2248;2218;127;9019"
""".....  SOROCABA"";922;52070;55242;58582;61946;4030;232792"
""".....  BOITUVA"";19;2396;2784;2628;2269;140;10236"
""".....  SALTO"";35;4547;5216;5130;5918;522;21368"
"""35171 Alto Vale do Para°ba"";2289;63828;68103;71511;75669;4880;286280"
""".....  SAO JOSE DOS CAMPOS"";1746;47241;52425;55132;58215;3846;218605"
""".....  JACAREI"";280;13397;12225;12773;14187;991;53853"
""".....  CACAPAVA"";263;3190;3453;3606;3267;43;13822"
"""35172 Circuito da FÇ e Vale Hist¢rico"";508;23203;23831;23944;23820;1539;96845"
""".....  LORENA"";109;6035;5782;5444;4952;251;22573"
""".....  CRUZEIRO"";82;5037;5178;5801;5758;419;22275"
""".....  CUNHA"";16;1205;1120;1273;1425;100;5139"
""".....  CACHOEIRA PAULISTA"";7;740;659;122;-;-;1528"
""".....  SILVEIRAS"";-;40;40;36;29;-;145"
""".....  GUARATINGUETA"";205;6286;6391;6440;6603;394;26319"
""".....  QUELUZ"";1;192;158;201;188;-;740"
""".....  APARECIDA"";88;3668;4503;4627;4865;375;18126"
"""35173 Litoral Norte"";901;29778;33493;35332;36611;2229;138344"
""".....  CARAGUATATUBA"";292;17150;20203;21764;23243;1672;84324"
""".....  UBATUBA"";287;4231;4528;4868;5115;157;19186"
""".....  SAO SEBASTIAO"";280;5148;5229;5068;5954;400;22079"
""".....  ILHABELA"";42;3249;3533;3632;2299;-;12755"
"""35174 Vale do Para°ba/Regi∆o Serrana"";830;32623;33837;34524;34711;2116;138641"
""".....  TAUBATE"";388;22746;23761;23772;24174;1742;96583"
""".....  SAO BENTO DO SAPUCAI"";-;365;363;491;541;35;1795"
""".....  CAMPOS DO JORDAO"";64;2848;2847;2680;2793;195;11427"
""".....  SAO LUIS DO PARAITINGA"";1;150;143;190;191;8;683"
""".....  PINDAMONHANGABA"";377;6514;6723;7391;7012;136;28153"
"""Total"";102369;2473494;2618689;2793757;2871926;162154;11022389"
&
