"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""210480 GRAJAU"";312761,84;5182840,16;5495602,00"
"""210490 GUIMARAES"";-;217866,97;217866,97"
"""210500 HUMBERTO DE CAMPOS"";-;498372,18;498372,18"
"""210510 ICATU"";-;50682,54;50682,54"
"""210515 IGARAPE DO MEIO"";-;296587,71;296587,71"
"""210520 IGARAPE GRANDE"";-;256478,87;256478,87"
"""210530 IMPERATRIZ"";3078384,33;39358070,51;42436454,84"
"""210535 ITAIPAVA DO GRAJAU"";-;308614,79;308614,79"
"""210540 ITAPECURU MIRIM"";31081,58;1421734,71;1452816,29"
"""210542 ITINGA DO MARANHAO"";-;273595,86;273595,86"
"""210545 JATOBA"";-;94314,66;94314,66"
"""210547 JENIPAPO DOS VIEIRAS"";-;165725,70;165725,70"
"""210550 JOAO LISBOA"";2788,83;471259,43;474048,26"
"""210560 JOSELANDIA"";-;345055,80;345055,80"
"""210570 LAGO DA PEDRA"";293975,74;5485869,83;5779845,57"
"""210580 LAGO DO JUNCO"";-;338205,92;338205,92"
"""210594 LAGO DOS RODRIGUES"";-;205568,08;205568,08"
"""210596 LAGOA GRANDE DO MARANHAO"";-;172514,07;172514,07"
"""210600 LIMA CAMPOS"";40919,48;379276,16;420195,64"
"""210610 LORETO"";-;270637,57;270637,57"
"""210630 MAGALHAES DE ALMEIDA"";-;271272,41;271272,41"
"""210637 MARANHAOZINHO"";-;267693,29;267693,29"
"""210640 MATA ROMA"";-;368870,27;368870,27"
"""210650 MATINHA"";-;257794,92;257794,92"
"""210660 MATOES"";94614,78;390709,14;485323,92"
"""210667 MILAGRES DO MARANHAO"";-;97605,08;97605,08"
"""210670 MIRADOR"";-;421183,59;421183,59"
"""210675 MIRANDA DO NORTE"";-;353895,61;353895,61"
"""210680 MIRINZAL"";21347,95;262026,79;283374,74"
"""210690 MONCAO"";31929,86;924793,04;956722,90"
"""210700 MONTES ALTOS"";-;53627,79;53627,79"
"""210710 MORROS"";-;529033,38;529033,38"
"""210720 NINA RODRIGUES"";-;198084,13;198084,13"
"""210725 NOVA COLINAS"";-;116670,53;116670,53"
"""210735 NOVA OLINDA DO MARANHAO"";-;582772,28;582772,28"
"""210740 OLHO D'AGUA DAS CUNHAS"";-;407847,61;407847,61"
"""210745 OLINDA NOVA DO MARANHAO"";-;227085,38;227085,38"
"""210750 PACO DO LUMIAR"";51353,36;1449908,48;1501261,84"
"""210760 PALMEIRANDIA"";-;304289,80;304289,80"
"""210770 PARAIBANO"";-;304334,32;304334,32"
"""210780 PARNARAMA"";-;700438,21;700438,21"
"""210790 PASSAGEM FRANCA"";-;1883419,28;1883419,28"
"""210800 PASTOS BONS"";-;478862,74;478862,74"
"""210805 PAULINO NEVES"";111167,95;380770,92;491938,87"
"""210810 PAULO RAMOS"";-;701804,68;701804,68"
"""210820 PEDREIRAS"";206777,86;4630973,20;4837751,06"
"""210825 PEDRO DO ROSARIO"";-;183320,70;183320,70"
"""210830 PENALVA"";22060,95;389132,71;411193,66"
"""210840 PERI MIRIM"";-;42166,04;42166,04"
"""210845 PERITORO"";273556,57;1991790,21;2265346,78"
"""210850 PINDARE-MIRIM"";-;181490,82;181490,82"
"""210860 PINHEIRO"";367467,78;8770978,05;9138445,83"
"""210870 PIO XII"";-;602079,44;602079,44"
"""210880 PIRAPEMAS"";-;148725,47;148725,47"
"""210890 POCAO DE PEDRAS"";-;327627,78;327627,78"
"""210900 PORTO FRANCO"";114832,08;2544351,00;2659183,08"
