"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""211160 SAO RAIMUNDO DAS MANGABEIRAS"";1241;-;1241"
"""211163 SAO RAIMUNDO DO DOCA BEZERRA"";198;-;198"
"""211170 SAO VICENTE FERRER"";1141;-;1141"
"""211172 SATUBINHA"";780;-;780"
"""211174 SENADOR ALEXANDRE COSTA"";703;-;703"
"""211178 SERRANO DO MARANHAO"";644;-;644"
"""211180 SITIO NOVO"";1348;-;1348"
"""211190 SUCUPIRA DO NORTE"";802;-;802"
"""211195 SUCUPIRA DO RIACHAO"";264;-;264"
"""211200 TASSO FRAGOSO"";216;-;216"
"""211210 TIMBIRAS"";3823;-;3823"
"""211220 TIMON"";9675;1;9676"
"""211223 TRIZIDELA DO VALE"";1274;-;1274"
"""211227 TUFILANDIA"";94;-;94"
"""211230 TUNTUM"";1590;-;1590"
"""211240 TURIACU"";1272;-;1272"
"""211250 TUTOIA"";1755;-;1755"
"""211260 URBANO SANTOS"";1716;-;1716"
"""211270 VARGEM GRANDE"";1779;-;1779"
"""211280 VIANA"";3489;1;3490"
"""211285 VILA NOVA DOS MARTIRIOS"";656;-;656"
"""211290 VITORIA DO MEARIM"";846;-;846"
"""211300 VITORINO FREIRE"";2320;-;2320"
"""211400 ZE DOCA"";3630;-;3630"
"""220010 AGRICOLANDIA"";68;-;68"
"""220020 AGUA BRANCA"";875;-;875"
"""220030 ALTO LONGA"";259;-;259"
"""220040 ALTOS"";1377;-;1377"
"""220050 AMARANTE"";1139;-;1139"
"""220100 ARRAIAL"";89;-;89"
"""220120 BARRAS"";2505;-;2505"
"""220150 BATALHA"";867;-;867"
"""220160 BENEDITINOS"";99;-;99"
"""220190 BOM JESUS"";5124;43;5167"
"""220220 CAMPO MAIOR"";5366;-;5366"
"""220230 CANTO DO BURITI"";1565;-;1565"
"""220260 CASTELO DO PIAUI"";402;-;402"
"""220270 COCAL"";756;-;756"
"""220290 CORRENTE"";1569;-;1569"
"""220310 CRISTINO CASTRO"";655;-;655"
"""220320 CURIMATA"";1096;-;1096"
"""220330 DEMERVAL LOBAO"";1044;-;1044"
"""220350 ELESBAO VELOSO"";788;-;788"
"""220370 ESPERANTINA"";4557;-;4557"
"""220390 FLORIANO"";12015;7;12022"
"""220400 FRANCINOPOLIS"";55;-;55"
"""220430 FRONTEIRAS"";2219;-;2219"
"""220450 GUADALUPE"";999;-;999"
"""220470 INHUMA"";215;-;215"
"""220480 IPIRANGA DO PIAUI"";63;-;63"
"""220510 ITAUEIRA"";500;-;500"
"""220520 JAICOS"";1422;-;1422"
"""220540 JOAQUIM PIRES"";74;-;74"
"""220550 JOSE DE FREITAS"";1197;-;1197"
"""220570 LUIS CORREIA"";159;-;159"
"""220580 LUZILANDIA"";3720;3;3723"
"""220590 MANOEL EMIDIO"";57;-;57"
"""220620 MIGUEL ALVES"";1553;-;1553"
"""220650 MONSENHOR HIPOLITO"";316;-;316"
"""220700 OEIRAS"";5407;13;5420"
"""220730 PAES LANDIM"";49;-;49"
"""220760 PARNAGUA"";1447;-;1447"
"""220770 PARNAIBA"";21203;527;21730"
"""220780 PAULISTANA"";1281;-;1281"
"""220790 PEDRO II"";3253;-;3253"
"""220800 PICOS"";12497;18;12515"
"""220810 PIMENTEIRAS"";114;-;114"
"""220820 PIO IX"";140;-;140"
"""220830 PIRACURUCA"";779;-;779"
"""220840 PIRIPIRI"";6147;-;6147"
"""220850 PORTO"";352;-;352"
"""220880 REGENERACAO"";1549;-;1549"
"""220890 RIBEIRO GONCALVES"";163;-;163"
"""220960 SAO FELIX DO PIAUI"";27;-;27"
"""221000 SAO JOAO DO PIAUI"";1215;-;1215"
"""221040 SAO MIGUEL DO TAPUIO"";442;-;442"
"""221050 SAO PEDRO DO PIAUI"";348;-;348"
"""221060 SAO RAIMUNDO NONATO"";11696;1;11697"
"""221070 SIMOES"";1629;-;1629"
"""221080 SIMPLICIO MENDES"";474;-;474"
"""221100 TERESINA"";83070;9231;92301"
"""221110 UNIAO"";1050;-;1050"
"""221120 URUCUI"";2102;-;2102"
"""221130 VALENCA DO PIAUI"";2925;-;2925"
"""221170 WALL FERRAZ"";210;-;210"
"""230020 ACARAU"";3615;-;3615"
"""230030 ACOPIARA"";1708;266;1974"
"""230040 AIUABA"";325;-;325"
"""230060 ALTANEIRA"";191;-;191"
"""230070 ALTO SANTO"";369;-;369"
"""230075 AMONTADA"";290;-;290"
"""230080 ANTONINA DO NORTE"";69;-;69"
"""230090 APUIARES"";109;-;109"
"""230100 AQUIRAZ"";2021;-;2021"
