"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acid local trab"";""Acid trajeto"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""150812 ULIANOPOLIS"";134;3102;-;-;-;-;3236"
"""150815 URUARA"";252;3518;-;-;-;-;3770"
"""150820 VIGIA"";-;1603;-;-;-;-;1603"
"""150830 VISEU"";-;2275;-;-;-;-;2275"
"""150835 VITORIA DO XINGU"";133;1362;-;-;-;-;1495"
"""150840 XINGUARA"";588;2984;-;-;-;-;3572"
"""160005 SERRA DO NAVIO"";-;28;-;-;-;-;28"
"""160010 AMAPA"";-;262;-;-;-;-;262"
"""160015 PEDRA BRANCA DO AMAPARI"";5;166;-;-;-;-;171"
"""160020 CALCOENE"";211;25;-;-;-;-;236"
"""160023 FERREIRA GOMES"";2;93;-;-;-;-;95"
"""160027 LARANJAL DO JARI"";36;4702;-;-;-;-;4738"
"""160030 MACAPA"";19710;22660;-;-;-;-;42370"
"""160040 MAZAGAO"";-;91;-;-;-;-;91"
"""160050 OIAPOQUE"";66;1677;-;-;-;-;1743"
"""160053 PORTO GRANDE"";110;51;-;-;-;-;161"
"""160060 SANTANA"";65;6835;-;-;-;-;6900"
"""160070 TARTARUGALZINHO"";-;56;-;-;-;-;56"
"""170070 ALVORADA"";256;293;-;-;-;-;549"
"""170100 ANANAS"";1;134;-;-;-;-;135"
"""170190 ARAGUACEMA"";135;417;-;-;-;-;552"
"""170200 ARAGUACU"";-;406;-;-;-;-;406"
"""170210 ARAGUAINA"";2016;19246;-;-;709;783;22754"
"""170220 ARAGUATINS"";283;361;-;-;-;-;644"
"""170230 ARAPOEMA"";631;921;-;-;-;-;1552"
"""170240 ARRAIAS"";167;1001;-;-;-;-;1168"
"""170255 AUGUSTINOPOLIS"";676;2597;-;-;-;-;3273"
"""170370 BREJINHO DE NAZARE"";94;-;-;-;-;-;94"
"""170550 COLINAS DO TOCANTINS"";405;1345;-;-;-;45;1795"
"""170700 DIANOPOLIS"";338;1156;-;-;-;-;1494"
"""170710 DIVINOPOLIS DO TOCANTINS"";197;18;-;-;-;-;215"
"""170820 FORMOSO DO ARAGUAIA"";-;425;-;-;-;-;425"
"""170900 GOIATINS"";22;86;-;-;-;-;108"
"""170930 GUARAI"";970;1710;-;-;-;-;2680"
"""170950 GURUPI"";760;8253;-;-;1;-;9014"
"""171050 ITACAJA"";-;94;-;-;-;-;94"
"""171190 LAGOA DA CONFUSAO"";-;68;-;-;-;-;68"
"""171320 MIRACEMA DO TOCANTINS"";899;2492;-;-;2;-;3393"
"""171420 NATIVIDADE"";-;63;-;-;-;-;63"
"""171575 PALMEIROPOLIS"";-;112;-;-;-;-;112"
"""171610 PARAISO DO TOCANTINS"";801;4132;-;-;-;1;4934"
"""171620 PARANA"";-;240;-;-;-;-;240"
"""171650 PEDRO AFONSO"";235;855;-;-;1;-;1091"
"""171660 PEIXE"";71;74;-;-;-;-;145"
"""171670 COLMEIA"";-;10;-;-;-;-;10"
"""171700 PINDORAMA DO TOCANTINS"";119;-;-;-;-;-;119"
"""171750 PIUM"";72;392;-;-;-;-;464"
"""171790 PONTE ALTA DO TOCANTINS"";-;43;-;-;-;-;43"
"""171820 PORTO NACIONAL"";623;5802;-;-;-;-;6425"
"""172065 SILVANOPOLIS"";-;38;-;-;-;-;38"
"""172080 SITIO NOVO DO TOCANTINS"";269;-;-;-;-;-;269"
"""172090 TAGUATINGA"";354;432;-;-;-;-;786"
"""172100 PALMAS"";3068;26985;-;-;-;1;30054"
"""172120 TOCANTINOPOLIS"";449;715;-;-;-;-;1164"
"""172210 XAMBIOA"";296;850;-;-;-;-;1146"
"""210005 ACAILANDIA"";1966;5347;-;-;515;-;7828"
"""210020 ALCANTARA"";-;204;-;-;-;-;204"
"""210030 ALDEIAS ALTAS"";243;323;-;-;-;-;566"
"""210043 ALTO ALEGRE DO MARANHAO"";-;3053;-;-;-;-;3053"
"""210047 ALTO ALEGRE DO PINDARE"";168;2570;-;-;-;-;2738"
"""210050 ALTO PARNAIBA"";-;260;-;-;-;-;260"
"""210060 AMARANTE DO MARANHAO"";122;2959;-;-;-;-;3081"
"""210070 ANAJATUBA"";-;740;-;-;-;-;740"
"""210080 ANAPURUS"";-;502;-;-;-;-;502"
"""210083 APICUM-ACU"";-;1200;-;-;-;-;1200"
"""210087 ARAGUANA"";811;2;-;-;-;-;813"
"""210090 ARAIOSES"";-;154;-;-;-;-;154"
"""210095 ARAME"";38;322;-;-;-;-;360"
"""210100 ARARI"";3;657;-;-;-;-;660"
"""210110 AXIXA"";-;243;-;-;-;-;243"
"""210120 BACABAL"";1088;10766;-;-;-;-;11854"
"""210125 BACABEIRA"";339;43;-;-;-;-;382"
"""210130 BACURI"";-;1248;-;-;-;-;1248"
"""210140 BALSAS"";929;7587;-;-;-;-;8516"
