"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""260990 OURICURI"";3;47;-;-;50"
"""261000 PALMARES"";-;52;-;-;52"
"""261020 PANELAS"";-;2;-;-;2"
"""261040 PARNAMIRIM"";-;1;-;-;1"
"""261070 PAULISTA"";4;57;1;-;62"
"""261080 PEDRA"";-;1;-;-;1"
"""261100 PETROLANDIA"";-;1;-;-;1"
"""261110 PETROLINA"";10;34;-;-;44"
"""261160 RECIFE"";135;1071;-;-;1206"
"""261220 SALGUEIRO"";-;38;-;-;38"
"""261230 SALOA"";-;1;-;-;1"
"""261300 SAO BENTO DO UNA"";-;5;-;-;5"
"""261320 SAO JOAO"";-;2;-;-;2"
"""261350 SAO JOSE DO BELMONTE"";1;-;-;-;1"
"""261360 SAO JOSE DO EGITO"";-;10;-;-;10"
"""261370 SAO LOURENCO DA MATA"";-;1;-;-;1"
"""261390 SERRA TALHADA"";2;84;-;-;86"
"""261460 TABIRA"";-;1;-;-;1"
"""261500 TAQUARITINGA DO NORTE"";-;3;-;-;3"
"""261520 TERRA NOVA"";-;3;-;-;3"
"""261540 TORITAMA"";3;-;-;-;3"
"""261640 VITORIA DE SANTO ANTAO"";6;23;-;-;29"
"""270030 ARAPIRACA"";67;69;11;5;152"
"""270040 ATALAIA"";-;2;-;-;2"
"""270140 CAMPO ALEGRE"";1;2;-;-;3"
"""270170 CAPELA"";-;4;-;-;4"
"""270230 CORURIPE"";-;13;-;-;13"
"""270240 DELMIRO GOUVEIA"";-;3;-;-;3"
"""270430 MACEIO"";106;282;2;-;390"
"""270630 PALMEIRA DOS INDIOS"";-;12;-;-;12"
"""270730 PORTO CALVO"";-;37;-;-;37"
"""270770 RIO LARGO"";-;15;-;-;15"
"""270800 SANTANA DO IPANEMA"";-;23;-;-;23"
"""270840 SAO JOSE DA TAPERA"";2;-;-;-;2"
"""270860 SAO MIGUEL DOS CAMPOS"";-;9;-;-;9"
"""270915 TEOTONIO VILELA"";-;1;-;-;1"
"""270930 UNIAO DOS PALMARES"";-;31;-;-;31"
"""280020 AQUIDABA"";-;2;-;-;2"
"""280030 ARACAJU"";35;303;-;-;338"
"""280130 CAPELA"";-;1;-;-;1"
"""280210 ESTANCIA"";-;42;-;-;42"
"""280350 LAGARTO"";-;59;-;-;59"
"""280450 NOSSA SENHORA DA GLORIA"";-;17;-;-;17"
"""280570 PROPRIA"";-;13;-;-;13"
"""280590 RIACHUELO"";-;2;-;-;2"
"""280670 SAO CRISTOVAO"";-;5;-;-;5"
"""280710 SIMAO DIAS"";-;12;-;-;12"
"""290020 ABARE"";-;1;-;-;1"
"""290070 ALAGOINHAS"";-;57;-;-;57"
"""290100 AMARGOSA"";-;7;-;-;7"
"""290110 AMELIA RODRIGUES"";-;1;-;-;1"
"""290115 AMERICA DOURADA"";-;3;-;-;3"
"""290160 ANTAS"";-;3;-;-;3"
"""290210 ARACI"";-;1;-;-;1"
"""290240 AURELINO LEAL"";-;2;-;-;2"
"""290260 BAIXA GRANDE"";-;1;-;-;1"
"""290270 BARRA"";1;9;-;-;10"
"""290280 BARRA DA ESTIVA"";-;5;-;-;5"
"""290320 BARREIRAS"";-;59;-;-;59"
"""290323 BARRO ALTO"";-;1;-;-;1"
"""290327 BARROCAS"";-;1;-;-;1"
"""290340 BELMONTE"";-;1;-;-;1"
"""290350 BELO CAMPO"";-;3;-;-;3"
"""290390 BOM JESUS DA LAPA"";-;18;-;-;18"
"""290395 BOM JESUS DA SERRA"";-;1;-;-;1"
"""290410 BOQUIRA"";-;4;-;-;4"
"""290430 BREJOES"";-;1;-;-;1"
"""290460 BRUMADO"";1;18;-;-;19"
"""290490 CACHOEIRA"";1;3;-;-;4"
"""290510 CAEM"";-;3;-;-;3"
"""290520 CAETITE"";-;3;-;-;3"
"""290530 CAFARNAUM"";-;1;-;-;1"
"""290560 CAMACAN"";-;5;-;-;5"
"""290570 CAMACARI"";-;24;-;-;24"
"""290580 CAMAMU"";-;1;-;-;1"
"""290590 CAMPO ALEGRE DE LOURDES"";-;2;-;-;2"
"""290600 CAMPO FORMOSO"";-;18;-;-;18"
"""290620 CANARANA"";-;2;-;-;2"
"""290650 CANDEIAS"";-;7;-;-;7"
"""290680 CANSANCAO"";-;9;-;-;9"
"""290687 CAPIM GROSSO"";-;2;-;-;2"
"""290710 CARINHANHA"";-;2;-;-;2"
"""290720 CASA NOVA"";-;9;-;-;9"
"""290780 CICERO DANTAS"";-;4;-;-;4"
"""290790 CIPO"";-;1;-;-;1"
"""290840 CONCEICAO DO COITE"";-;18;-;-;18"
"""290870 CONDEUBA"";-;6;-;-;6"
"""290890 CORACAO DE MARIA"";-;1;-;-;1"
"""290900 CORDEIROS"";-;2;-;-;2"
"""290950 CRAVOLANDIA"";-;1;-;-;1"
"""290960 CRISOPOLIS"";-;2;-;-;2"
"""290980 CRUZ DAS ALMAS"";-;1;-;-;1"
"""291010 DOM BASILIO"";-;5;-;-;5"
"""291030 ELISIO MEDRADO"";-;1;-;-;1"
"""291060 ESPLANADA"";-;5;-;-;5"
"""291070 EUCLIDES DA CUNHA"";-;9;-;-;9"
"""291072 EUNAPOLIS"";-;26;-;-;26"
"""291080 FEIRA DE SANTANA"";53;130;-;-;183"
"""291130 GENTIO DO OURO"";-;1;-;-;1"
"""291170 GUANAMBI"";-;32;-;-;32"
"""291190 IACU"";-;2;-;-;2"
"""291200 IBIASSUCE"";-;3;-;-;3"
"""291210 IBICARAI"";-;4;-;-;4"
"""291250 IBIPITANGA"";-;1;-;-;1"
"""291300 IBITIARA"";-;4;-;-;4"
"""291310 IBITITA"";-;2;-;-;2"
"""291320 IBOTIRAMA"";-;7;-;-;7"
"""291340 IGAPORA"";-;1;-;-;1"
"""291360 ILHEUS"";1;67;-;-;68"
"""291370 INHAMBUPE"";-;2;-;-;2"
"""291390 IPIAU"";-;17;-;-;17"
"""291410 IPUPIARA"";-;1;-;-;1"
"""291440 IRAQUARA"";-;1;-;-;1"
"""291460 IRECE"";-;48;-;-;48"
"""291470 ITABERABA"";2;17;-;-;19"
"""291480 ITABUNA"";1;87;-;-;88"
"""291490 ITACARE"";-;3;-;-;3"
"""291510 ITAGI"";-;1;-;-;1"
"""291560 ITAMARAJU"";-;14;-;-;14"
"""291580 ITAMBE"";-;5;-;-;5"
"""291600 ITANHEM"";-;3;-;-;3"
"""291610 ITAPARICA"";-;11;-;-;11"
"""291640 ITAPETINGA"";-;37;-;-;37"
"""291650 ITAPICURU"";-;2;-;-;2"
"""291660 ITAPITANGA"";-;1;-;-;1"
"""291680 ITARANTIM"";-;2;-;-;2"
"""291690 ITIRUCU"";-;1;-;-;1"
"""291700 ITIUBA"";-;4;-;-;4"
"""291720 ITUACU"";-;3;-;-;3"
"""291730 ITUBERA"";-;1;-;-;1"
"""291740 JACARACI"";-;1;-;-;1"
"""291750 JACOBINA"";6;12;-;-;18"
"""291760 JAGUAQUARA"";-;6;-;-;6"
"""291770 JAGUARARI"";-;2;-;-;2"
"""291800 JEQUIE"";-;97;-;-;97"
"""291810 JEREMOABO"";-;2;-;-;2"
"""291820 JIQUIRICA"";-;3;-;-;3"
"""291830 JITAUNA"";-;1;-;-;1"
"""291840 JUAZEIRO"";1;133;-;-;134"
"""291860 JUSSIAPE"";2;-;-;-;2"
"""291920 LAURO DE FREITAS"";27;24;-;-;51"
"""291940 LICINIO DE ALMEIDA"";-;6;-;-;6"
"""291970 MACARANI"";-;1;-;-;1"
"""291980 MACAUBAS"";-;8;-;-;8"
"""292010 MAIRI"";-;6;-;-;6"
"""292050 MARACAS"";-;5;-;-;5"
"""292110 MEDEIROS NETO"";-;10;-;-;10"
