"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""220650 MONSENHOR HIPOLITO"";8417,66;-;8417,66"
"""220680 NOSSA SENHORA DOS REMEDIOS"";8686,44;-;8686,44"
"""220700 OEIRAS"";320596,05;-;320596,05"
"""220730 PAES LANDIM"";3275,59;-;3275,59"
"""220760 PARNAGUA"";88770,87;-;88770,87"
"""220770 PARNAIBA"";935607,46;1298995,24;2234602,70"
"""220790 PEDRO II"";109040,84;-;109040,84"
"""220800 PICOS"";1109769,90;36218,56;1145988,46"
"""220820 PIO IX"";10912,09;-;10912,09"
"""220830 PIRACURUCA"";76502,67;-;76502,67"
"""220840 PIRIPIRI"";558332,08;-;558332,08"
"""220880 REGENERACAO"";38383,65;-;38383,65"
"""220960 SAO FELIX DO PIAUI"";104,44;-;104,44"
"""221000 SAO JOAO DO PIAUI"";63920,34;-;63920,34"
"""221040 SAO MIGUEL DO TAPUIO"";22353,19;-;22353,19"
"""221060 SAO RAIMUNDO NONATO"";475622,35;-;475622,35"
"""221070 SIMOES"";42419,42;-;42419,42"
"""221100 TERESINA"";11290339,41;6911862,93;18202202,34"
"""221110 UNIAO"";33241,91;-;33241,91"
"""221120 URUCUI"";84664,97;-;84664,97"
"""221130 VALENCA DO PIAUI"";155666,47;-;155666,47"
"""230020 ACARAU"";614176,22;3627,32;617803,54"
"""230030 ACOPIARA"";101588,32;-;101588,32"
"""230040 AIUABA"";6138,70;-;6138,70"
"""230060 ALTANEIRA"";3130,71;-;3130,71"
"""230070 ALTO SANTO"";16088,51;-;16088,51"
"""230080 ANTONINA DO NORTE"";7280,55;-;7280,55"
"""230090 APUIARES"";3717,95;-;3717,95"
"""230100 AQUIRAZ"";123429,02;-;123429,02"
"""230110 ARACATI"";229311,28;-;229311,28"
"""230120 ARACOIABA"";221559,86;-;221559,86"
"""230130 ARARIPE"";13783,50;-;13783,50"
"""230160 ASSARE"";22174,24;-;22174,24"
"""230170 AURORA"";194023,21;-;194023,21"
"""230190 BARBALHA"";2653799,50;2171997,01;4825796,51"
"""230195 BARREIRA"";9445,18;-;9445,18"
"""230210 BATURITE"";94600,11;-;94600,11"
"""230220 BEBERIBE"";40219,50;-;40219,50"
"""230230 BELA CRUZ"";39681,77;-;39681,77"
"""230240 BOA VIAGEM"";141965,18;-;141965,18"
"""230250 BREJO SANTO"";1183828,26;60194,71;1244022,97"
"""230260 CAMOCIM"";167975,73;-;167975,73"
"""230270 CAMPOS SALES"";28554,54;-;28554,54"
"""230280 CANINDE"";574419,09;-;574419,09"
"""230300 CARIDADE"";2110,51;-;2110,51"
"""230320 CARIRIACU"";12674,85;-;12674,85"
"""230330 CARIUS"";28898,69;-;28898,69"
"""230340 CARNAUBAL"";25828,41;-;25828,41"
"""230350 CASCAVEL"";87201,62;-;87201,62"
"""230360 CATARINA"";21504,22;-;21504,22"
"""230365 CATUNDA"";10365,94;-;10365,94"
"""230370 CAUCAIA"";740050,54;-;740050,54"
"""230380 CEDRO"";105609,16;-;105609,16"
"""230395 CHOROZINHO"";4361,49;-;4361,49"
"""230410 CRATEUS"";556644,70;-;556644,70"
"""230420 CRATO"";1783840,95;163239,12;1947080,07"
"""230425 CRUZ"";63862,77;-;63862,77"
"""230426 DEPUTADO IRAPUAN PINHEIRO"";8623,64;-;8623,64"
"""230427 ERERE"";2764,17;-;2764,17"
"""230428 EUSEBIO"";314824,05;-;314824,05"
"""230440 FORTALEZA"";22491961,27;17112238,40;39604199,67"
"""230445 FORTIM"";9132,43;-;9132,43"
"""230450 FRECHEIRINHA"";12125,75;-;12125,75"
"""230470 GRANJA"";124294,85;-;124294,85"
"""230480 GRANJEIRO"";4663,77;-;4663,77"
"""230495 GUAIUBA"";442,20;-;442,20"
"""230500 GUARACIABA DO NORTE"";66375,32;-;66375,32"
"""230520 HIDROLANDIA"";12755,06;-;12755,06"
"""230523 HORIZONTE"";67499,12;-;67499,12"
"""230526 IBARETAMA"";2416,68;-;2416,68"
"""230530 IBIAPINA"";64258,70;-;64258,70"
"""230540 ICO"";180453,66;-;180453,66"
"""230550 IGUATU"";720574,26;-;720574,26"
"""230580 IPU"";80229,82;-;80229,82"
"""230590 IPUEIRAS"";34360,69;-;34360,69"
"""230600 IRACEMA"";21387,29;-;21387,29"
"""230610 IRAUCUBA"";31054,61;-;31054,61"
"""230620 ITAICABA"";575,69;-;575,69"
"""230625 ITAITINGA"";24757,38;-;24757,38"
"""230630 ITAPAJE"";109660,01;-;109660,01"
"""230640 ITAPIPOCA"";1171837,14;-;1171837,14"
"""230655 ITAREMA"";48256,60;-;48256,60"
"""230680 JAGUARIBARA"";39492,64;-;39492,64"
"""230690 JAGUARIBE"";70225,98;-;70225,98"
"""230710 JARDIM"";21818,97;-;21818,97"
"""230720 JATI"";2367,19;-;2367,19"
"""230725 JIJOCA DE JERICOACOARA"";17058,42;-;17058,42"
"""230730 JUAZEIRO DO NORTE"";2852323,11;297034,32;3149357,43"
"""230740 JUCAS"";29699,47;-;29699,47"
"""230750 LAVRAS DA MANGABEIRA"";69381,04;-;69381,04"
"""230760 LIMOEIRO DO NORTE"";978370,07;273458,81;1251828,88"
"""230763 MADALENA"";3189,52;-;3189,52"
"""230765 MARACANAU"";1162287,08;-;1162287,08"
"""230770 MARANGUAPE"";69054,83;-;69054,83"
"""230820 MERUOCA"";8945,83;-;8945,83"
"""230830 MILAGRES"";46890,19;-;46890,19"
"""230835 MILHA"";9146,36;-;9146,36"
"""230840 MISSAO VELHA"";81779,81;-;81779,81"
"""230860 MONSENHOR TABOSA"";37191,87;-;37191,87"
"""230870 MORADA NOVA"";96760,15;-;96760,15"
"""230890 MORRINHOS"";7795,42;-;7795,42"
"""230910 MULUNGU"";2522,71;-;2522,71"
"""230920 NOVA OLINDA"";9020,54;-;9020,54"
"""230930 NOVA RUSSAS"";48130,67;-;48130,67"
"""230940 NOVO ORIENTE"";17374,33;-;17374,33"
"""230945 OCARA"";7972,46;-;7972,46"
"""230950 OROS"";26249,15;-;26249,15"
"""230960 PACAJUS"";21736,74;-;21736,74"
"""230970 PACATUBA"";30545,48;-;30545,48"
"""231020 PARACURU"";28303,92;-;28303,92"
"""231025 PARAIPABA"";35749,96;-;35749,96"
"""231030 PARAMBU"";66238,23;-;66238,23"
"""231050 PEDRA BRANCA"";31368,51;-;31368,51"
"""231070 PENTECOSTE"";12075,64;-;12075,64"
"""231080 PEREIRO"";14204,73;-;14204,73"
"""231090 PIQUET CARNEIRO"";18022,20;-;18022,20"
"""231100 PORANGA"";17105,29;-;17105,29"
"""231110 PORTEIRAS"";17463,14;-;17463,14"
"""231120 POTENGI"";13188,68;-;13188,68"
"""231130 QUIXADA"";619374,89;-;619374,89"
"""231140 QUIXERAMOBIM"";2629804,83;1337599,54;3967404,37"
"""231150 QUIXERE"";10047,41;-;10047,41"
"""231160 REDENCAO"";44985,90;-;44985,90"
"""231180 RUSSAS"";232614,42;-;232614,42"
"""231190 SABOEIRO"";7565,50;-;7565,50"
