"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""230250 BREJO SANTO"";29764,12;-;1214258,85;1244022,97"
"""230260 CAMOCIM"";-;-;167975,73;167975,73"
"""230270 CAMPOS SALES"";-;-;28554,54;28554,54"
"""230280 CANINDE"";34591,64;-;539827,45;574419,09"
"""230300 CARIDADE"";-;-;2110,51;2110,51"
"""230320 CARIRIACU"";-;-;12674,85;12674,85"
"""230330 CARIUS"";-;-;28898,69;28898,69"
"""230340 CARNAUBAL"";-;-;25828,41;25828,41"
"""230350 CASCAVEL"";-;-;87201,62;87201,62"
"""230360 CATARINA"";-;-;21504,22;21504,22"
"""230365 CATUNDA"";-;-;10365,94;10365,94"
"""230370 CAUCAIA"";55562,12;-;684488,42;740050,54"
"""230380 CEDRO"";919,77;-;104689,39;105609,16"
"""230395 CHOROZINHO"";-;-;4361,49;4361,49"
"""230410 CRATEUS"";57905,52;1861,63;496877,55;556644,70"
"""230420 CRATO"";216702,77;-;1730377,30;1947080,07"
"""230425 CRUZ"";25369,51;-;38493,26;63862,77"
"""230426 DEPUTADO IRAPUAN PINHEIRO"";-;-;8623,64;8623,64"
"""230427 ERERE"";-;-;2764,17;2764,17"
"""230428 EUSEBIO"";9690,74;-;305133,31;314824,05"
"""230440 FORTALEZA"";11156069,80;3909,73;28444220,14;39604199,67"
"""230445 FORTIM"";-;-;9132,43;9132,43"
"""230450 FRECHEIRINHA"";-;-;12125,75;12125,75"
"""230470 GRANJA"";50781,05;-;73513,80;124294,85"
"""230480 GRANJEIRO"";-;-;4663,77;4663,77"
"""230495 GUAIUBA"";-;-;442,20;442,20"
"""230500 GUARACIABA DO NORTE"";-;-;66375,32;66375,32"
"""230520 HIDROLANDIA"";-;-;12755,06;12755,06"
"""230523 HORIZONTE"";5399,62;-;62099,50;67499,12"
"""230526 IBARETAMA"";-;-;2416,68;2416,68"
"""230530 IBIAPINA"";18603,15;-;45655,55;64258,70"
"""230540 ICO"";-;-;180453,66;180453,66"
"""230550 IGUATU"";75758,13;360,00;644456,13;720574,26"
"""230580 IPU"";22138,33;-;58091,49;80229,82"
"""230590 IPUEIRAS"";-;-;34360,69;34360,69"
"""230600 IRACEMA"";-;-;21387,29;21387,29"
"""230610 IRAUCUBA"";12923,45;-;18131,16;31054,61"
"""230620 ITAICABA"";-;-;575,69;575,69"
"""230625 ITAITINGA"";-;-;24757,38;24757,38"
"""230630 ITAPAJE"";40528,42;-;69131,59;109660,01"
"""230640 ITAPIPOCA"";190428,07;2667,38;978741,69;1171837,14"
"""230655 ITAREMA"";18217,43;-;30039,17;48256,60"
"""230680 JAGUARIBARA"";20902,61;-;18590,03;39492,64"
"""230690 JAGUARIBE"";28806,57;-;41419,41;70225,98"
"""230710 JARDIM"";-;-;21818,97;21818,97"
"""230720 JATI"";-;-;2367,19;2367,19"
"""230725 JIJOCA DE JERICOACOARA"";-;-;17058,42;17058,42"
"""230730 JUAZEIRO DO NORTE"";51180,01;-;3098177,42;3149357,43"
"""230740 JUCAS"";-;-;29699,47;29699,47"
"""230750 LAVRAS DA MANGABEIRA"";-;-;69381,04;69381,04"
"""230760 LIMOEIRO DO NORTE"";116246,14;4938,40;1130644,34;1251828,88"
"""230763 MADALENA"";-;-;3189,52;3189,52"
"""230765 MARACANAU"";141609,72;9153,96;1011523,40;1162287,08"
"""230770 MARANGUAPE"";5250,55;-;63804,28;69054,83"
"""230820 MERUOCA"";-;-;8945,83;8945,83"
"""230830 MILAGRES"";-;-;46890,19;46890,19"
"""230835 MILHA"";-;-;9146,36;9146,36"
"""230840 MISSAO VELHA"";-;-;81779,81;81779,81"
"""230860 MONSENHOR TABOSA"";25858,07;-;11333,80;37191,87"
"""230870 MORADA NOVA"";47111,83;-;49648,32;96760,15"
"""230890 MORRINHOS"";-;-;7795,42;7795,42"
"""230910 MULUNGU"";-;-;2522,71;2522,71"
"""230920 NOVA OLINDA"";-;-;9020,54;9020,54"
"""230930 NOVA RUSSAS"";-;-;48130,67;48130,67"
"""230940 NOVO ORIENTE"";-;-;17374,33;17374,33"
"""230945 OCARA"";-;-;7972,46;7972,46"
"""230950 OROS"";-;-;26249,15;26249,15"
"""230960 PACAJUS"";-;-;21736,74;21736,74"
"""230970 PACATUBA"";-;-;30545,48;30545,48"
"""231020 PARACURU"";-;-;28303,92;28303,92"
"""231025 PARAIPABA"";-;-;35749,96;35749,96"
"""231030 PARAMBU"";2849,40;-;63388,83;66238,23"
"""231050 PEDRA BRANCA"";-;-;31368,51;31368,51"
"""231070 PENTECOSTE"";-;-;12075,64;12075,64"
"""231080 PEREIRO"";-;-;14204,73;14204,73"
"""231090 PIQUET CARNEIRO"";-;-;18022,20;18022,20"
"""231100 PORANGA"";-;-;17105,29;17105,29"
"""231110 PORTEIRAS"";-;-;17463,14;17463,14"
"""231120 POTENGI"";-;-;13188,68;13188,68"
"""231130 QUIXADA"";28581,67;-;590793,22;619374,89"
"""231140 QUIXERAMOBIM"";119433,30;-;3847971,07;3967404,37"
"""231150 QUIXERE"";-;-;10047,41;10047,41"
"""231160 REDENCAO"";-;-;44985,90;44985,90"
"""231180 RUSSAS"";-;-;232614,42;232614,42"
"""231190 SABOEIRO"";-;-;7565,50;7565,50"
"""231195 SALITRE"";-;-;18542,05;18542,05"
"""231210 SANTANA DO CARIRI"";-;-;6541,73;6541,73"
"""231220 SANTA QUITERIA"";29362,40;-;50407,03;79769,43"
"""231260 SAO LUIS DO CURU"";-;-;3907,18;3907,18"
"""231290 SOBRAL"";808275,22;896,79;7296055,05;8105227,06"
"""231300 SOLONOPOLE"";-;-;11366,43;11366,43"
"""231310 TABULEIRO DO NORTE"";77523,80;-;69936,57;147460,37"
"""231320 TAMBORIL"";-;-;37151,62;37151,62"
"""231325 TARRAFAS"";-;-;3278,22;3278,22"
"""231330 TAUA"";13222,53;1856,16;602755,36;617834,05"
"""231335 TEJUCUOCA"";-;-;3383,46;3383,46"
"""231340 TIANGUA"";575284,76;3950,00;953781,56;1533016,32"
"""231360 UBAJARA"";13705,44;-;47375,54;61080,98"
"""231370 UMARI"";-;-;2877,78;2877,78"
"""231375 UMIRIM"";-;-;3651,63;3651,63"
