"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""210200 BOM JARDIM"";741525,70;-;741525,70"
"""210203 BOM JESUS DAS SELVAS"";519280,66;-;519280,66"
"""210210 BREJO"";526319,62;-;526319,62"
"""210220 BURITI"";297270,47;-;297270,47"
"""210230 BURITI BRAVO"";433015,67;151,00;433166,67"
"""210232 BURITICUPU"";1605039,12;-;1605039,12"
"""210240 CAJAPIO"";160220,33;-;160220,33"
"""210250 CAJARI"";116595,23;-;116595,23"
"""210260 CANDIDO MENDES"";81790,42;-;81790,42"
"""210270 CANTANHEDE"";442396,61;-;442396,61"
"""210275 CAPINZAL DO NORTE"";48171,05;-;48171,05"
"""210280 CAROLINA"";744263,78;-;744263,78"
"""210290 CARUTAPERA"";1350299,32;-;1350299,32"
"""210300 CAXIAS"";18146262,25;2477579,05;20623841,30"
"""210310 CEDRAL"";263448,08;-;263448,08"
"""210312 CENTRAL DO MARANHAO"";141812,64;-;141812,64"
"""210320 CHAPADINHA"";3144220,03;1121,98;3145342,01"
"""210325 CIDELANDIA"";319208,72;-;319208,72"
"""210330 CODO"";3490509,15;2061,92;3492571,07"
"""210340 COELHO NETO"";1136952,63;-;1136952,63"
"""210350 COLINAS"";4070819,44;749,64;4071569,08"
"""210355 CONCEICAO DO LAGO-ACU"";219941,98;-;219941,98"
"""210360 COROATA"";9409287,58;15325,93;9424613,51"
"""210370 CURURUPU"";2299261,26;-;2299261,26"
"""210380 DOM PEDRO"";635403,54;-;635403,54"
"""210390 DUQUE BACELAR"";240546,04;-;240546,04"
"""210400 ESPERANTINOPOLIS"";664468,84;199,00;664667,84"
"""210405 ESTREITO"";815065,07;-;815065,07"
"""210407 FEIRA NOVA DO MARANHAO"";227176,13;-;227176,13"
"""210408 FERNANDO FALCAO"";117445,05;-;117445,05"
"""210409 FORMOSA DA SERRA NEGRA"";233937,16;-;233937,16"
"""210410 FORTALEZA DOS NOGUEIRAS"";234141,05;-;234141,05"
"""210420 FORTUNA"";134900,65;-;134900,65"
"""210440 GONCALVES DIAS"";276131,92;-;276131,92"
"""210450 GOVERNADOR ARCHER"";224117,43;-;224117,43"
"""210455 GOVERNADOR EDISON LOBAO"";117522,30;-;117522,30"
"""210460 GOVERNADOR EUGENIO BARROS"";408048,09;-;408048,09"
"""210462 GOVERNADOR LUIZ ROCHA"";202103,96;-;202103,96"
"""210465 GOVERNADOR NEWTON BELLO"";200867,93;-;200867,93"
"""210467 GOVERNADOR NUNES FREIRE"";2075658,37;-;2075658,37"
"""210470 GRACA ARANHA"";39526,63;-;39526,63"
"""210480 GRAJAU"";5494991,84;610,16;5495602,00"
"""210490 GUIMARAES"";217866,97;-;217866,97"
"""210500 HUMBERTO DE CAMPOS"";498372,18;-;498372,18"
"""210510 ICATU"";50682,54;-;50682,54"
"""210515 IGARAPE DO MEIO"";296587,71;-;296587,71"
"""210520 IGARAPE GRANDE"";256478,87;-;256478,87"
"""210530 IMPERATRIZ"";37437177,96;4999276,88;42436454,84"
"""210535 ITAIPAVA DO GRAJAU"";308614,79;-;308614,79"
"""210540 ITAPECURU MIRIM"";1452816,29;-;1452816,29"
"""210542 ITINGA DO MARANHAO"";273595,86;-;273595,86"
"""210545 JATOBA"";94314,66;-;94314,66"
"""210547 JENIPAPO DOS VIEIRAS"";165725,70;-;165725,70"
"""210550 JOAO LISBOA"";474048,26;-;474048,26"
"""210560 JOSELANDIA"";345055,80;-;345055,80"
"""210570 LAGO DA PEDRA"";5779845,57;-;5779845,57"
"""210580 LAGO DO JUNCO"";338205,92;-;338205,92"
"""210594 LAGO DOS RODRIGUES"";205568,08;-;205568,08"
"""210596 LAGOA GRANDE DO MARANHAO"";172514,07;-;172514,07"
"""210600 LIMA CAMPOS"";420195,64;-;420195,64"
"""210610 LORETO"";270637,57;-;270637,57"
"""210630 MAGALHAES DE ALMEIDA"";271272,41;-;271272,41"
"""210637 MARANHAOZINHO"";267693,29;-;267693,29"
"""210640 MATA ROMA"";368870,27;-;368870,27"
"""210650 MATINHA"";257794,92;-;257794,92"
"""210660 MATOES"";485323,92;-;485323,92"
"""210667 MILAGRES DO MARANHAO"";97605,08;-;97605,08"
"""210670 MIRADOR"";421183,59;-;421183,59"
"""210675 MIRANDA DO NORTE"";353895,61;-;353895,61"
"""210680 MIRINZAL"";283374,74;-;283374,74"
"""210690 MONCAO"";956722,90;-;956722,90"
"""210700 MONTES ALTOS"";53627,79;-;53627,79"
"""210710 MORROS"";529033,38;-;529033,38"
"""210720 NINA RODRIGUES"";198084,13;-;198084,13"
"""210725 NOVA COLINAS"";116670,53;-;116670,53"
"""210735 NOVA OLINDA DO MARANHAO"";582772,28;-;582772,28"
"""210740 OLHO D'AGUA DAS CUNHAS"";407847,61;-;407847,61"
"""210745 OLINDA NOVA DO MARANHAO"";227085,38;-;227085,38"
"""210750 PACO DO LUMIAR"";1501261,84;-;1501261,84"
"""210760 PALMEIRANDIA"";304289,80;-;304289,80"
"""210770 PARAIBANO"";304334,32;-;304334,32"
"""210780 PARNARAMA"";700438,21;-;700438,21"
"""210790 PASSAGEM FRANCA"";1883419,28;-;1883419,28"
"""210800 PASTOS BONS"";478862,74;-;478862,74"
"""210805 PAULINO NEVES"";491938,87;-;491938,87"
"""210810 PAULO RAMOS"";701804,68;-;701804,68"
"""210820 PEDREIRAS"";4775480,36;62270,70;4837751,06"
"""210825 PEDRO DO ROSARIO"";183320,70;-;183320,70"
"""210830 PENALVA"";411193,66;-;411193,66"
"""210840 PERI MIRIM"";42166,04;-;42166,04"
"""210845 PERITORO"";2253887,96;11458,82;2265346,78"
"""210850 PINDARE-MIRIM"";181490,82;-;181490,82"
"""210860 PINHEIRO"";9136641,97;1803,86;9138445,83"
"""210870 PIO XII"";602079,44;-;602079,44"
"""210880 PIRAPEMAS"";148725,47;-;148725,47"
"""210890 POCAO DE PEDRAS"";327627,78;-;327627,78"
"""210900 PORTO FRANCO"";2656763,56;2419,52;2659183,08"
"""210910 PRESIDENTE DUTRA"";10935931,33;10834,61;10946765,94"
"""210920 PRESIDENTE JUSCELINO"";74366,93;-;74366,93"
"""210923 PRESIDENTE MEDICI"";508226,38;-;508226,38"
"""210927 PRESIDENTE SARNEY"";14067,90;-;14067,90"
"""210930 PRESIDENTE VARGAS"";131036,53;-;131036,53"
"""210940 PRIMEIRA CRUZ"";218381,46;-;218381,46"
"""210945 RAPOSA"";179229,87;-;179229,87"
"""210950 RIACHAO"";379616,35;-;379616,35"
"""210960 ROSARIO"";984432,03;-;984432,03"
"""210970 SAMBAIBA"";139622,67;-;139622,67"
"""210980 SANTA HELENA"";596995,53;-;596995,53"
"""210990 SANTA INES"";10358924,51;1559,16;10360483,67"
"""211000 SANTA LUZIA"";1494120,73;-;1494120,73"
"""211003 SANTA LUZIA DO PARUA"";2856828,46;21283,30;2878111,76"
"""211010 SANTA QUITERIA DO MARANHAO"";427137,70;-;427137,70"
"""211020 SANTA RITA"";667635,74;-;667635,74"
"""211023 SANTANA DO MARANHAO"";225239,58;-;225239,58"
"""211027 SANTO AMARO DO MARANHAO"";189159,93;-;189159,93"
