"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""352590 JUNDIAI"";-;616;1007;10398;9848;10662;11101;11158;10458;10607;10625;10867;11357;10167;10354;10760;10726;11154;11219;11136;11035;11631;11885;12083;12208;11049;10718;11219;276048"
"""352600 JUNQUEIROPOLIS"";-;-;-;-;7;10;5;10;7;7;7;11;8;7;5;3;13;13;4;12;19;13;12;21;22;15;14;19;264"
"""352640 LARANJAL PAULISTA"";-;-;-;-;1;7;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;1;-;57;288;219;265;841"
"""352670 LEME"";-;-;-;1752;1905;1943;1999;2501;2053;2320;2207;2040;2288;2152;2278;2106;1718;2082;2054;2124;2084;2184;2083;2013;2201;2051;2309;2228;52675"
"""352680 LENCOIS PAULISTA"";-;-;-;349;362;317;379;421;256;277;829;479;488;595;527;586;428;495;579;592;578;507;648;714;359;478;662;536;12441"
"""352690 LIMEIRA"";-;-;-;5671;5172;5730;5821;5610;5588;6147;5807;5160;6406;5548;5590;5573;5602;5661;5439;5526;5826;5803;6367;6891;6749;5882;6398;6197;146164"
"""352710 LINS"";-;-;-;166;180;132;123;119;127;128;124;142;328;168;232;279;318;351;186;145;125;169;166;148;191;253;188;73;4561"
"""352720 LORENA"";-;-;11;1344;1491;1721;1725;1477;1615;1645;1624;1613;1590;1416;1433;1735;1496;704;1468;1580;1594;1563;1615;1614;1278;1417;1495;1526;37790"
"""352730 LOUVEIRA"";-;-;-;385;549;524;658;506;659;539;577;756;608;508;383;403;573;440;181;149;464;604;516;480;460;442;448;351;12163"
"""352760 LUIS ANTONIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;4"
"""352800 MACATUBA"";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10"
"""352850 MAIRIPORA"";-;-;-;357;308;330;359;263;288;372;394;394;329;398;271;320;318;508;425;420;292;344;566;634;588;562;584;538;10162"
"""352860 MANDURI"";-;-;12;-;-;-;-;-;-;-;-;20;17;17;15;15;16;15;-;13;-;-;-;7;-;-;-;-;147"
"""352880 MARACAI"";-;-;-;-;-;-;-;49;40;44;34;-;90;75;-;-;35;39;-;-;-;-;-;-;-;-;-;-;406"
