"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350550 BARRETOS"";203,90;3275,35;64105,06;13248889,97;12203382,13;13035090,41;13515437,61;13549285,89;12951118,39;13225644,48;13562051,09;13450686,20;14178224,35;13022764,36;12920848,64;13583590,67;13537738,14;13451297,60;13578809,46;14014015,93;13759903,86;14679706,17;14246339,30;14070115,92;14849367,85;13879758,38;14443747,90;13628105,84;340653504,85"
"""350560 BARRINHA"";-;-;-;2514,76;2366,76;2384,42;2407,12;1996,59;3811,35;5200,10;5185,57;4657,65;4519,40;4583,64;2152,96;3926,40;4737,71;100093,50;100941,58;101504,25;99216,61;121069,57;95299,21;99842,91;88207,97;116334,41;111448,24;119154,28;1203556,96"
"""350570 BARUERI"";-;73248,39;138620,51;6383711,79;6619776,34;7145454,28;8025156,91;7912097,26;7854147,68;7404172,89;7637524,85;7380605,32;7650782,71;6645872,28;5973055,63;6894358,98;6884997,12;7253946,60;6363709,19;7991111,60;7144040,25;7687011,18;7864290,77;7979916,29;8108241,20;7312849,08;6493246,23;6284056,39;181106001,72"
"""350580 BASTOS"";-;-;422,03;97246,24;102440,15;105304,80;117350,23;115558,70;119246,40;119595,84;138180,99;148623,37;152895,39;145415,21;130381,77;126818,13;137826,63;121109,31;134243,43;177411,46;142619,44;143011,08;119346,89;159203,39;171792,70;160239,69;160524,02;171158,35;3417965,64"
"""350590 BATATAIS"";-;3089,20;2182,63;787593,83;774571,86;812635,31;838720,71;863359,49;851029,67;871556,33;861349,37;876620,31;921219,71;874648,69;854066,98;957914,71;868555,85;850143,61;911668,71;952448,83;910489,19;992359,50;933282,30;936405,16;962340,56;831644,48;871666,35;757866,90;21929430,24"
"""350600 BAURU"";-;1814,36;32464,16;7975475,28;7783876,37;8399046,17;8796608,35;8963926,63;8972902,43;8605037,89;8955745,47;8787080,36;9646954,84;9083606,11;8599219,09;9050076,88;9741405,08;10195516,52;9407220,23;9705251,16;9215136,19;9435789,20;10129434,82;10257439,10;10388848,05;9666722,44;9726587,31;9887841,98;231411026,47"
"""350610 BEBEDOURO"";-;-;-;1154228,41;1378274,89;1441034,49;1485599,34;1429386,62;1443638,86;1525901,52;1548661,46;1484879,21;1508686,68;1357446,78;1274402,52;1328324,28;1411759,85;1277312,97;1856345,26;1548681,15;1483788,78;1671437,78;1644450,30;1701759,82;1704321,85;1532841,11;1415636,63;1562624,39;37171424,95"
"""350620 BENTO DE ABREU"";-;-;-;1388,11;403,93;952,97;1718,01;1661,59;7424,16;4992,66;692,92;4642,72;5892,10;4819,54;2171,77;514,41;1373,97;3808,80;6167,30;7003,35;7921,80;3591,65;4144,50;6623,55;4751,10;4356,45;3420,00;1898,10;92335,46"
"""350630 BERNARDINO DE CAMPOS"";-;-;-;53412,78;54405,88;61184,40;62425,87;58311,22;59487,75;54727,05;57810,00;67873,21;60317,61;57496,47;52750,62;58915,79;64586,53;76801,79;70352,29;73447,81;62701,98;54436,13;54064,35;54623,67;50688,63;53234,92;53650,74;52291,05;1479998,54"
"""350635 BERTIOGA"";-;-;470743,47;8825314,24;906731,61;1015039,52;915297,43;843501,41;761216,80;710828,23;806950,37;760727,91;810289,13;758075,50;703729,76;828472,33;794337,62;872921,93;903210,34;893103,68;811232,55;791582,09;902203,84;938228,46;1058587,34;863669,02;1070455,10;753468,27;29769917,95"
"""350640 BILAC"";-;-;-;33982,55;38493,93;41529,56;43474,06;45463,90;44623,67;45042,27;45525,98;45866,78;42579,06;39941,87;50701,20;53247,08;39932,18;27087,12;33346,68;53510,26;41625,85;41948,64;48374,92;48808,39;44185,16;44399,36;44195,42;43870,44;1081756,33"
"""350650 BIRIGUI"";-;90,00;8325,00;475877,79;547045,03;610190,75;628946,61;632587,75;557038,53;536219,16;596547,30;620067,22;698854,81;614166,83;567081,14;602062,25;590758,65;725248,37;680805,87;714101,80;673349,38;810109,19;790605,91;703037,85;635406,28;567808,11;544585,39;629580,91;15760497,88"
"""350660 BIRITIBA MIRIM"";-;-;-;86131,26;76537,07;46622,30;121807,26;49055,11;62434,29;6700,79;77803,56;72330,85;89886,54;165941,34;160316,79;158957,59;148926,47;154640,08;171030,37;190514,81;171165,51;165965,83;183988,92;183649,56;179546,80;174225,20;161368,74;-;3059547,04"
